# startBin 0.0 endBin 10.0 nbins 100
0.00 0
0.10 0
0.20 0
0.30 0
0.40 0
0.50 0
0.60 0
0.70 0
0.80 0
0.90 0
1.00 0
1.10 2
1.20 0
1.30 1
1.40 0
1.50 0
1.60 0
1.70 1
1.80 1
1.90 7
2.00 2
2.10 5
2.20 7
2.30 16
2.40 14
2.50 12
2.60 32
2.70 29
2.80 31
2.90 50
3.00 36
3.10 77
3.20 93
3.30 124
3.40 105
3.50 141
3.60 179
3.70 193
3.80 213
3.90 248
4.00 256
4.10 273
4.20 295
4.30 312
4.40 316
4.50 382
4.60 351
4.70 371
4.80 434
4.90 379
5.00 416
5.10 393
5.20 398
5.30 362
5.40 360
5.50 358
5.60 323
5.70 295
5.80 283
5.90 259
6.00 249
6.10 211
6.20 177
6.30 155
6.40 120
6.50 103
6.60 116
6.70 89
6.80 68
6.90 63
7.00 43
7.10 38
7.20 35
7.30 31
7.40 19
7.50 11
7.60 6
7.70 8
7.80 5
7.90 10
8.00 5
8.10 1
8.20 0
8.30 0
8.40 1
8.50 0
8.60 0
8.70 1
8.80 0
8.90 0
9.00 0
9.10 0
9.20 0
9.30 0
9.40 0
9.50 0
9.60 0
9.70 0
9.80 0
9.90 0
